"ExperimentName","Subject","Session","SessionDate","SessionTime","Block","metablock","TaskType","Trial","CorrectResponse","ITIs","left_stim","right_stim","task.ACC","task.RESP","task.RT","run"
"Matching_Run1",3,1,"05-14-2015",17:44:32,1,1,"NumberMatching",5,2,1,"D6_1","N3",1,2,2594,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,1,1,"NumberMatching",6,2,2,"N1","D4_2",1,2,2022,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,2,3,"NumberMatching",1,2,1,"D4_1","N8",1,2,1391,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,2,3,"NumberMatching",2,1,2,"D2_2","N2",1,1,1672,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,2,3,"NumberMatching",3,2,3,"D8_1","N5",1,2,1907,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,2,3,"NumberMatching",4,2,2,"N7","D4_2",1,2,1633,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,2,3,"NumberMatching",5,2,3,"N3","D5_2",0,NA,0,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,2,3,"NumberMatching",6,1,1,"D4_2","N4",1,1,1772,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,3,4,"ShapeMatching",1,2,2,"S9","S1",1,2,1734,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,3,4,"ShapeMatching",2,1,1,"S7","S7",1,1,1451,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,3,4,"ShapeMatching",3,1,3,"S1","S1",1,1,1433,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,3,4,"ShapeMatching",4,1,1,"S8","S8",1,1,1164,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,3,4,"ShapeMatching",5,2,3,"S5","S6",1,2,1670,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,3,4,"ShapeMatching",6,1,2,"S5","S5",1,1,1010,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,4,5,"ShapeMatching",1,2,3,"S2","S3",1,2,1395,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,4,5,"ShapeMatching",2,2,2,"S4","S5",1,2,1838,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,4,5,"ShapeMatching",3,1,1,"S6","S6",1,1,1745,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,4,5,"ShapeMatching",4,2,3,"S8","S9",1,2,2091,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,4,5,"ShapeMatching",5,2,2,"S3","S4",1,2,1781,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,4,5,"ShapeMatching",6,1,1,"S9","S9",1,1,2381,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,5,6,"ShapeMatching",1,2,2,"S6","S7",1,2,1657,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,5,6,"ShapeMatching",2,1,3,"S4","S4",1,1,874,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,5,6,"ShapeMatching",3,2,1,"S1","S2",1,2,1958,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,5,6,"ShapeMatching",4,1,3,"S3","S3",0,2,2177,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,5,6,"ShapeMatching",5,2,2,"S7","S8",1,2,2087,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,5,6,"ShapeMatching",6,1,1,"S2","S2",1,1,1123,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,6,2,"NumberMatching",1,1,2,"D6_2","N6",0,2,2105,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,6,2,"NumberMatching",2,1,1,"N5","D5_1",1,1,2129,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,6,2,"NumberMatching",3,2,3,"N9","D7_2",0,1,3720,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,6,2,"NumberMatching",4,1,1,"N9","D9_1",1,1,1430,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,6,2,"NumberMatching",5,2,3,"N5","D1_2",1,2,1737,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,6,2,"NumberMatching",6,1,2,"N3","D3_1",1,1,1622,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,1,6,"ShapeMatching",1,2,3,"S7","S8",0,1,2238,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,1,6,"ShapeMatching",2,2,2,"S2","S3",1,2,1422,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,1,6,"ShapeMatching",3,2,1,"S1","S2",1,2,1378,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,1,6,"ShapeMatching",4,2,3,"S8","S9",1,2,1078,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,1,6,"ShapeMatching",5,1,2,"S3","S3",1,1,930,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,1,6,"ShapeMatching",6,1,1,"S6","S6",1,1,965,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,2,2,"NumberMatching",1,1,3,"N3","D3_1",1,1,1565,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,2,2,"NumberMatching",2,1,1,"N5","D5_1",0,NA,0,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,2,2,"NumberMatching",3,2,2,"N9","D7_2",0,1,1733,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,2,2,"NumberMatching",4,1,1,"N7","D7_1",0,NA,0,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,2,2,"NumberMatching",5,1,2,"D6_2","N6",0,NA,0,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,2,2,"NumberMatching",6,2,3,"D4_1","N8",0,1,295,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,3,4,"ShapeMatching",1,1,1,"S4","S4",1,1,971,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,3,4,"ShapeMatching",2,1,3,"S1","S1",0,NA,0,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,3,4,"ShapeMatching",3,2,2,"S4","S5",1,2,864,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,3,4,"ShapeMatching",4,2,1,"S6","S7",1,2,2291,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,3,4,"ShapeMatching",5,1,2,"S8","S8",1,1,1037,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,3,4,"ShapeMatching",6,1,3,"S9","S9",1,1,1239,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,4,5,"ShapeMatching",1,2,2,"S9","S1",1,2,1322,1
